Level	Rule Name	Subject	Property	Value
WARN	missing_definition	camcur	IAO:0000115	
WARN	missing_definition	phenotypic class	IAO:0000115	
WARN	missing_definition	population of Drosophila	IAO:0000115	
WARN	missing_definition	population of cells	IAO:0000115	
WARN	missing_definition	has_age	IAO:0000115	
WARN	missing_obsolete_label	dosage compensation defective	rdfs:label	dosage compensation defective
WARN	missing_xrefs	camcur	oboInOwl:hasDbXref	
WARN	missing_xrefs	thermotaxis defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	male semi-fertile	oboInOwl:hasDbXref	
WARN	missing_xrefs	female semi-fertile	oboInOwl:hasDbXref	
WARN	missing_xrefs	modifier of variegation	oboInOwl:hasDbXref	
WARN	missing_xrefs	homeotic	oboInOwl:hasDbXref	
WARN	missing_xrefs	dorsal/ventral axis specification defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	neurogenic phenotype	oboInOwl:hasDbXref	
WARN	missing_xrefs	phenotypic class	oboInOwl:hasDbXref	
WARN	missing_xrefs	wild-type	oboInOwl:hasDbXref	
WARN	missing_xrefs	viable	oboInOwl:hasDbXref	
WARN	missing_xrefs	partially lethal - majority live	oboInOwl:hasDbXref	
WARN	missing_xrefs	lethal	oboInOwl:hasDbXref	
WARN	missing_xrefs	partially lethal - majority die	oboInOwl:hasDbXref	
WARN	missing_xrefs	cell lethal	oboInOwl:hasDbXref	
WARN	missing_xrefs	visible	oboInOwl:hasDbXref	
WARN	missing_xrefs	eye color defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	body color defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	size defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	small body	oboInOwl:hasDbXref	
WARN	missing_xrefs	decreased cell number	oboInOwl:hasDbXref	
WARN	missing_xrefs	decreased cell size	oboInOwl:hasDbXref	
WARN	missing_xrefs	large body	oboInOwl:hasDbXref	
WARN	missing_xrefs	increased cell number	oboInOwl:hasDbXref	
WARN	missing_xrefs	increased cell size	oboInOwl:hasDbXref	
WARN	missing_xrefs	sterile	oboInOwl:hasDbXref	
WARN	missing_xrefs	semi-sterile	oboInOwl:hasDbXref	
WARN	missing_xrefs	female sterile	oboInOwl:hasDbXref	
WARN	missing_xrefs	female semi-sterile	oboInOwl:hasDbXref	
WARN	missing_xrefs	female sterile germline-dependent	oboInOwl:hasDbXref	
WARN	missing_xrefs	female sterile soma-dependent	oboInOwl:hasDbXref	
WARN	missing_xrefs	male sterile	oboInOwl:hasDbXref	
